業種キー,業種名,カテゴリ,米US$低,米US$高,CPI調整低$,CPI調整高$,FTC参考¥,USD/JPY,円換算低¥,円換算高¥,推奨価格低¥,推奨価格高¥,月額/人$,年間市場M$,更新日
ft_2d,2Dエコー,FTO固定,80,150,83,156,12000,161.843,13433,25248,8664,23070,2.5,0.2,2026-07-14
ft_4d,4Dエコー記念,FTO固定,175,350,182,364,20000,161.843,29455,58911,18998,53830,3.0,0.24,2026-07-14
ft_sit1,ベビーシッター,FTO固定,108,175,112,182,18000,161.843,18126,29455,11691,26915,4.0,0.32,2026-07-14
ft_med,産後・新生児ケア,FTO固定,180,480,187,499,35000,161.843,30265,80760,19521,73794,2.0,0.16,2026-07-14
cafe,カフェ/ラテ・ドリンク,飲食,5,8,5,8,700,161.843,809,1295,522,1183,80.0,6.4,2026-07-14
lunch,カジュアルランチ,飲食,15,25,16,26,1500,161.843,2589,4208,1670,3845,40.0,3.2,2026-07-14
dinner,ファミリーディナー,飲食,75,160,78,166,8000,161.843,12624,26866,8142,24549,20.0,1.6,2026-07-14
premium,プレミアムディナー/記念日,飲食,200,500,208,520,18000,161.843,33663,84158,21713,76899,5.0,0.4,2026-07-14
house,ハウスクリーニング,生活,150,300,156,312,20000,161.843,25248,50495,16285,46140,2.0,0.16,2026-07-14
car,車内外クリーニング,生活,150,400,156,416,12000,161.843,25248,67327,16285,61520,3.0,0.24,2026-07-14
pet,ペットシッター/訪問,生活,20,35,21,36,3000,161.843,3399,5826,2192,5324,5.0,0.4,2026-07-14
trans,通訳・行政/病院同行,生活,50,100,52,104,6000,161.843,8416,16832,5428,15380,2.0,0.16,2026-07-14
hair,女性カット/カラー,美容,120,200,125,208,12000,161.843,20230,33663,13048,30760,8.0,0.64,2026-07-14
massage,マッサージ60分,美容,90,160,94,166,7000,161.843,15213,26866,9812,24549,12.0,0.96,2026-07-14
acupunc,鍼灸・ウェルネス60分,美容,100,180,104,187,8000,161.843,16832,30265,10857,27655,8.0,0.64,2026-07-14
hbeat,Heartbeat Animal記念品,小売,40,80,42,83,5500,161.843,6797,13433,4384,12274,1.5,0.12,2026-07-14
baby,ベビー/マタニティ用品,小売,30,100,31,104,6000,161.843,5017,16832,3236,15380,10.0,0.8,2026-07-14
photo,家族/ニューボーン写真,体験,400,1200,416,1248,35000,161.843,67327,201980,43426,184559,1.0,0.08,2026-07-14
mini,ミニフォトセッション,体験,100,200,104,208,12000,161.843,16832,33663,10857,30760,2.0,0.16,2026-07-14
tour,半日ツアー/アクティビティ,体験,80,150,83,156,9000,161.843,13433,25248,8664,23070,3.0,0.24,2026-07-14
lesson,語学/子どもレッスン,教育,50,100,52,104,5000,161.843,8416,16832,5428,15380,6.0,0.48,2026-07-14
